,id,prod_id,prod_name,areabrand_name,prod_detail,cid,first_cat,agri_firstcat,sepcial_name,Geodict,NotGeodict,final_Prod,final_label
10,11,559000000000.0,绿舟食品新货桂圆 5A桂圆干 福建莆田特产龙眼肉干货500g,莆田龙眼,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""福建省""},{""城市"":""莆田市""},{""净含量"":""500g""}]}]}",1080202006,食品保健,水果,,"{'莆田龙眼': '莆田', '莆田桂圆': '莆田'}",,莆田龙眼,2
11,12,549000000000.0,10袋包邮 正宗五城牌茶干35g/袋 手工豆腐干 五香麻辣 黄山特产,安徽五城茶干,"{""groupProps"":[{""基本信息"":[{""生产许可证编号"":""SC12534102205029""},{""产品标准号"":""DB34/988""},{""厂名"":""黄山市五城豆制品厂""},{""厂址"":""安徽省黄山市休宁县山斗乡山斗村""},{""配料表"":""黄豆，水，食用盐，酱油，白糖，味精，植物油""},{""储藏方法"":""常温下避光保存""},{""保质期"":""240""},{""食品添加剂"":""见包装""},{""重量(g)"":""35""},{""包装方式"":""散装""},{""口味"":""麻辣味,五香味""},{""豆制品种类"":""豆腐干""},{""品牌"":""五城牌""},{""系列"":""茶干系列""},{""产地"":""中国大陆""},{""省份"":""安徽省""},{""特产品类"":""五城茶干""}]}]}",1080102009,食品保健,0,五城茶干,,,五城茶干,1
12,13,563000000000.0,百中堂 2018年旺旺福来 狗年生肖纪念饼 高山乔木普洱 熟茶357g,西双版纳茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年12月08日 至 2017年12月10日""},{""品牌"":""百中堂 ""},{""系列"":""狗年生肖纪念茶饼 ""},{""包装方式"":""包装 ""},{""包装种类"":""常规棉纸包装 ""},{""普洱生产工艺"":""熟茶 ""},{""普洱茶年份"":""1年(含)-3年(不含) ""},{""茶区"":""易武茶区 ""},{""产地"":""中国大陆 ""},{""省份"":""云南省 ""},{""城市"":""西双版纳傣族自治州 ""},{""形状"":""饼茶 ""},{""净含量"":""357g ""},{""生产许可证编号"":""QS5328 1401 1062 ""},{""产品标准号"":""GB/T22111-2008""},{""厂名"":""勐海百中堂茶业有限公司""},{""厂址"":""勐海县勐海镇景龙村民委员会曼兴小组""},{""厂家联系方式"":""400-876-1680""},{""保质期"":""168000""}]}]}",1080501002,食品保健,0,,,,,0
13,14,548000000000.0,新货特级花草茶散装柠檬 柠檬片 柠檬干片 美白美颜500g包邮,广西柠檬,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""广西壮族自治区""},{""品牌"":""山田庄""},{""系列"":""1""},{""规格"":""1""},{""净含量"":""500g""}]}]}",1080501003,食品保健,,,,,,0
14,15,560000000000.0,买2送1 羽露茶叶 宜红工夫红茶 袋泡花草茶 20袋茶包,武汉红茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年03月01日 至 2017年06月30日""},{""生产许可证编号"":""SC11442010200469""},{""厂名"":""湖北汉口茶厂有限公司""},{""厂址"":""武汉市江岸区一元街道南京路5号""},{""厂家联系方式"":""027-82223387""},{""配料表"":""宜红工夫""},{""储藏方法"":""避光、密封、常温、勿潮、防异味""},{""保质期"":""720""},{""食品添加剂"":""无""},{""品牌"":""羽露""},{""系列"":""羽露-宜红工夫""},{""产地"":""中国大陆""},{""省份"":""湖北省""},{""城市"":""武汉市""},{""包装种类"":""礼盒装""},{""是否含糖"":""无糖""},{""是否为有机食品"":""否""},{""包装方式"":""包装""},{""套餐份量"":""5人""},{""套餐周期"":""3个月""},{""配送频次"":""1周2次""},{""价格段"":""1-59元""},{""适用季节"":""冬季,春季,夏季,秋季""},{""茶种类"":""其他/other""},{""净含量"":""60g""}]}]}",1080501005,食品保健,茶饮,,,,,0
15,16,563000000000.0,日本食多屋KANRO甘露七色铅笔糖76g蜡笔糖果创意儿童糖果,甘露,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年11月01日 至 2017年11月01日""},{""厂名"":""KANRO""},{""厂址"":""日本""},{""厂家联系方式"":""110""},{""配料表"":""见包装""},{""保质期"":""365""},{""食品添加剂"":""见包装""},{""品牌"":""KANRO""},{""系列"":""糖""},{""包装方式"":""包装""},{""包装种类"":""袋装""},{""产品"":""其他/other""},{""产地"":""日本""},{""口味"":""水果味/赏味期：2018.10""},{""净含量"":""80g""}]}]}",10603,食品保健,,,,,,0
16,17,561000000000.0,农家新鲜正宗野生丹参野丹参片紫丹参中江丹参茶三七丹参粉血包邮,中江丹参,"{""groupProps"":[{""基本信息"":[{""净含量"":""500g""},{""包装方式"":""食用农产品""},{""品牌"":""伏牛山""},{""系列"":""1111""},{""规格"":""25""},{""产地"":""中国大陆""},{""省份"":""河南省""},{""城市"":""南阳市""}]}]}",1990101,食品保健,草药,,{'中江丹参': '中江'},,中江丹参,2
17,18,553000000000.0,新品 秘制牛肉膏 手撕鸡牛肉 牛肉粉汤料汤底增加牛肉风味调味料,河南牛肉,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年10月12日 至 2018年10月16日""},{""厂名"":""香港闽色天湘国际食品有限公司""},{""厂址"":""香港湾仔轩尼诗道383号华轩商业中心""},{""厂家联系方式"":""15115722051""},{""配料表"":""牛肉、食用盐、白砂糖、酵母抽提物、葡萄糖、玉米淀粉、麦芽糊精""},{""储藏方法"":""密避通风""},{""保质期"":""365""},{""净含量"":""1000""},{""包装方式"":""包装""},{""产地"":""中国大陆""},{""省份"":""河南省""}]}]}",1080202002,食品保健,,,,,,0
18,19,567000000000.0,七彩孔雀 阿布朗（生茶）357克头春古树普洱茶 布朗山头春 2015年,普洱茶,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""是否为有机食品"":""否""},{""普洱生产工艺"":""生茶""},{""普洱茶年份"":""1年(含)-3年(不含)""},{""套餐份量"":""2人""},{""套餐周期"":""2周""},{""配送频次"":""1周1次""},{""特产品类"":""普洱茶""},{""产地"":""中国大陆""},{""省份"":""云南省""},{""城市"":""西双版纳傣族自治州""},{""价格段"":""300-499元""},{""形状"":""饼茶""},{""茶区"":""勐海茶区""},{""净含量"":""357g""}]}]}",10805,食品保健,茶饮,普洱茶,,,普洱茶,1
19,20,561000000000.0,农家自产自销纯高粱面4斤包邮,忻州高粱,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""山西省""},{""城市"":""忻州市""},{""净含量"":""500g""}]}]}",19902,食品保健,粮油,,,,,0
20,21,550000000000.0,润喉茶武夷山野生藤茶 晚甘喉苦甘露 管家婆茶乞丐茶晚甘喉500克,福建野生藤茶,"{""groupProps"":[{""基本信息"":[{""品牌"":""other/其他""},{""系列：规格"":""一斤装""},{""规格"":""半斤一袋，一斤装2袋""},{""包装方式"":""食用农产品""},{""是否含糖"":""无糖""},{""产地"":""中国大陆""},{""省份"":""福建省""},{""特产品类"":""野生藤茶""},{""净含量"":""500g""}]}]}",1080501003,食品保健,茶饮,野生藤茶,,,野生藤茶,1
21,22,559000000000.0,2袋包邮 立顿芒果风味茶1000g袋装固体饮料速溶红茶粉果味冰爽茶,安徽红茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年06月07日 至 2017年06月28日""},{""生产许可证编号"":""SC11434010705097""},{""产品标准号"":"" Q/TNBE1001S""},{""厂名"":""联合利华（中国）有限公司""},{""厂址"":""安徽省合肥经济技术开发区锦绣大道88号""},{""厂家联系方式"":""1111111""},{""配料表"":""速溶红茶粉、白砂糖""},{""储藏方法"":""请存放于清凉干燥处""},{""保质期"":""730""},{""食品添加剂"":""见包装""},{""品牌"":""Lipton/立顿""},{""系列"":""芒果风味1000g""},{""是否为有机食品"":""否""},{""是否含糖"":""含糖""},{""商品条形码"":""6902088801231""},{""净含量"":""1000g""},{""包装方式"":""包装""},{""省份"":""安徽省""},{""产地"":""中国大陆""}]}]}",1080503004,食品保健,,,,,,0
22,23,41472600174.0,紫菜汤用 新鲜特级头水紫菜 野生无盐无沙免洗紫菜干货 500g 包邮,宁波紫菜,"{""groupProps"":[{""基本信息"":[{""净含量"":""500g""},{""包装方式"":""食用农产品""},{""原产地"":""中国""},{""售卖方式"":""单品""},{""是否为有机食品"":""否""},{""食品工艺"":""水产干货""},{""产地"":""中国大陆""},{""省份"":""浙江省""},{""城市"":""宁波市""},{""套餐份量"":""5人份""},{""套餐周期"":""1个月""}]}]}",1080202006,食品保健,水产,,,,,0
23,24,539000000000.0,【买1发3】向素大麦若叶 青汁大麦 20包天然青苗粉 抹茶粉60g,湖州茶,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年04月01日 至 2018年04月01日""},{""生产许可证编号"":""SC10633050200022""},{""产品标准号"":""GB/T 29602""},{""厂名"":""湖州金诺康健康科技有限公司""},{""厂址"":""浙江省湖州市吴兴区织里镇大港路1088号12A""},{""厂家联系方式"":""-""},{""配料表"":""大麦青苗粉""},{""储藏方法"":""阴凉干燥处""},{""保质期"":""720""},{""食品添加剂"":""-""},{""净含量"":""60g""},{""包装方式"":""包装""},{""商品条形码"":""6970170160207""},{""品牌"":""向素""},{""系列"":""青汁粉""},{""产地"":""中国大陆""},{""省份"":""浙江省""},{""城市"":""湖州市""},{""是否含糖"":""无糖""}]}]}",1990101,食品保健,粮油,,,,,0
24,25,554000000000.0,善物 手工制作 玫瑰花生酥糖 无添加 无色素 美味零嘴 花生,成都花生,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""产地"":""中国大陆""},{""省份"":""四川省""},{""城市"":""成都市""},{""食品口味"":""原味""},{""品牌"":""善物""},{""系列"":""cc""},{""净含量"":""220g""}]}]}",1080102010,食品保健,,,,"{'玫瑰酥糖': '玫瑰', '美味酥糖': '美味'}",,-2
25,26,543000000000.0,吖吖食客坚果时代年货礼盒每日坚果零食特产早餐大礼包组合装礼品,乡宁桃仁,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年01月01日 至 2017年01月31日""},{""生产许可证编号"":""SC11844190002711""},{""产品标准号"":""Q/JLSP0001S""},{""厂名"":""东莞市金鳞食品有限公司""},{""厂址"":""东莞市常平镇塘角村沿河西一路73号""},{""厂家联系方式"":""15035604488""},{""配料表"":""巴旦木、核桃仁、腰果仁、南瓜子仁、黑加仑葡萄干、蔓越莓干、蓝莓干""},{""储藏方法"":""放置于阴凉处""},{""保质期"":""270""},{""食品添加剂"":""无""},{""包装方式"":""包装""},{""包装种类"":""袋装""},{""是否为有机食品"":""否""},{""零食种类"":""腰果""},{""特产品类"":""乡宁桃仁""},{""原产地"":""中国大陆地区""},{""同城服务"":""同城卖家送货上门""},{""是否含糖"":""无糖""},{""产地"":""中国大陆""},{""省份"":""山西省""},{""城市"":""晋中市""},{""商品条形码"":""6970225610244""},{""食品口味"":""每日坚果140g—6袋包邮,箱起22元/袋—20袋起可混批""},{""净含量"":""140g""}]}]}",1080102006,食品保健,坚果,乡宁桃仁,,,乡宁桃仁,1
26,27,561000000000.0,新鲜土鸡蛋草鸡蛋野生放养不吃饲料农家散养蛋小营养好 30只包邮,南通土鸡蛋,"{""groupProps"":[{""基本信息"":[{""净含量"":""50g""},{""包装方式"":""食用农产品""},{""枚数"":""1枚""},{""生鲜储存温度"":""0-8℃""},{""产地"":""中国大陆""},{""省份"":""江苏省""},{""城市"":""南通市""}]}]}",1080201003,食品保健,畜禽,,,,,0
27,28,527000000000.0,鲜度好 质量好 老板鱼 爆款味美全好评炖豆腐油炸满5斤省运费2元,威海豆腐,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""食品工艺"":""冷冻水产""},{""产地"":""中国大陆""},{""省份"":""山东省""},{""城市"":""威海市""}]}]}",1080102005,食品保健,,,,{'油炸豆腐': '油炸'},油炸豆腐,3
28,29,567000000000.0,零食姜汁糖特产驱寒暖宫姜糖手工痛经暖胃祛湿独立包装250g约45颗,临沂姜糖,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年04月08日 至 2018年04月08日""},{""生产许可证编号"":""SC11737132100079""},{""厂名"":""沂南阳都食品厂""},{""厂址"":""苏村镇政府驻地""},{""厂家联系方式"":""0592-8664907""},{""配料表"":""白砂糖、姜汁，姜粉，葡萄糖浆""},{""保质期"":""365""},{""食品添加剂"":""葡萄糖浆""},{""产品"":""姜糖""},{""包装方式"":""散装""},{""产地"":""中国大陆""},{""省份"":""山东省""},{""城市"":""临沂市""},{""品牌"":""马大大""},{""系列"":""糖果""},{""净含量"":""250g""}]}]}",10805,食品保健,,,,,,0
29,30,538000000000.0,雍雅小筑 宜兴紫砂壶 名家潘彩娣制 冯伟陶刻 大亨掇球 400CC,宜兴紫砂,"{""groupProps"":[{""基本信息"":[{""是否手工"":""是""},{""材质"":""紫砂""},{""容量"":""301mL(含)-400mL(含)""},{""产地"":""宜兴市""},{""茶餐具工艺"":""纯手工""},{""主图来源"":""自主实拍图""},{""毛重"":""1KG以内""},{""货号"":""PCD00201622""},{""包装体积"":""12cmX12cmX10cm""},{""颜色分类"":""陶刻款一,陶刻款二,陶刻款三""}]}]}",10602,家居用品,,,{'宜兴紫砂': '宜兴'},,宜兴紫砂,2
30,31,9999296703.0,东北特产 苞米面大饼子 小玉米饼锅贴 杂粮饼粗粮6份包邮,四平玉米,"{""groupProps"":[{""基本信息"":[{""产地"":""中国大陆""},{""省份"":""吉林省""},{""城市"":""四平市""},{""包装方式"":""食用农产品""},{""净含量"":""250g""}]}]}",1080202001,食品保健,0,,,,,0
31,32,544000000000.0,进口西洋参片小片切片含片西洋人参段美国花旗参片100克包邮,广州人参,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""参种类"":""其他/other""},{""产地"":""中国大陆""},{""省份"":""广东省""},{""城市"":""广州市""},{""品牌"":""other/其他""},{""系列"":""西洋参""},{""规格"":""小片""},{""净含量"":""100g""}]}]}",1080601005,食品保健,草药,,,,,0
32,33,525000000000.0,9.9包邮元装香菇100克买5送1 河南卢氏香菇剪脚新品特产干货,三门峡香菇,"{""groupProps"":[{""基本信息"":[{""净含量"":""100g""},{""包装方式"":""食用农产品""},{""品牌"":""老公社""},{""系列"":""食用菌""},{""规格"":""干货""},{""产地"":""中国大陆""},{""省份"":""河南省""},{""城市"":""三门峡市""}]}]}",1080202006,食品保健,蔬菜,,,{'卢氏香菇': '卢氏'},卢氏香菇,3
33,34,43471604743.0,善蒸坊现做 原味 红糖发糕非真空包装900克 新鲜发糕口感更好,衢州发糕,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年10月15日 至 2018年10月15日""},{""生产许可证编号"":""SC10133082501292""},{""厂名"":""浙江德辉食品有限公司""},{""厂址"":""浙江省衢州市龙游县龙洲街道城南工业开发区灵江园区""},{""厂家联系方式"":""13575663518""},{""配料表"":""糥米等""},{""保质期"":""15""},{""食品添加剂"":""无""},{""包装方式"":""散装""},{""产地"":""中国大陆""},{""省份"":""浙江省""},{""城市"":""衢州市""},{""净含量"":""900g""}]}]}",1080202001,食品保健,,,,,,0
34,35,561000000000.0,广西特产手工原味姜糖顺昌食品葡萄糖浆生姜柠檬酸200克满免运费,桂林葡萄,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年07月01日 至 2018年10月01日""},{""生产许可证编号"":""SC12445030200041""},{""厂名"":""桂林市顺昌食品有限公司""},{""厂址"":""桂林市秀峰区阳江路29号""},{""厂家联系方式"":""07732552868""},{""配料表"":""白砂糖 生姜等""},{""保质期"":""300""},{""食品添加剂"":""无""},{""口味"":""原味""},{""净含量"":""200g""},{""产地"":""中国大陆""},{""省份"":""广西壮族自治区""},{""城市"":""桂林市""},{""包装方式"":""包装""}]}]}",1080102010,食品保健,,,,,,0
35,36,563000000000.0,湖南特产开口爽田园采香辣味馋猫脆莴笋下饭腌菜湖南特产小吃零食,益阳莴笋,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年11月30日 至 2017年12月03日""},{""生产许可证编号"":""QS430616010023""},{""厂名"":""岳阳开口爽菜业有限公司""},{""厂址"":""华容县新河乡前进村""},{""厂家联系方式"":""0730-4362358""},{""配料表"":""莴笋、水、辣椒、氯化钠、菜籽油、白砂糖、食用香精香料""},{""保质期"":""365""},{""食品添加剂"":""见包装""},{""包装方式"":""散装""},{""产地"":""中国大陆""},{""省份"":""湖南省""},{""城市"":""益阳市""},{""品牌"":""开口爽""},{""系列"":""湘味熟食""},{""规格"":""莴笋散装""},{""净含量"":""30g""}]}]}",1080102009,食品保健,,,,,,0
36,37,558000000000.0,河南特产2盒免邮 河南功夫烩面牛肉羊肉混合口味456克清真小强强,濮阳羊肉,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2017年09月01日 至 2017年09月01日""},{""生产许可证编号"":""SC10741092300271""},{""厂名"":""南乐红高粱面业科技发展有限公司""},{""厂址"":""产业集聚区聚源路北侧""},{""厂家联系方式"":""15538192210""},{""配料表"":""见描述图片""},{""保质期"":""270""},{""食品添加剂"":""无""},{""包装方式"":""包装""},{""产地"":""中国大陆""},{""省份"":""河南省""},{""城市"":""濮阳市""},{""净含量"":""456g""}]}]}",1080202002,食品保健,,,,"{'功夫牛肉': '功夫', '羊肉烩面': '羊肉'}",,-2
37,38,540000000000.0,猪丫手造济南同城包邮黑森林巧克力生日蛋糕樱桃动物淡奶油无添加,山东樱桃,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2018年06月01日 至 2018年06月02日""},{""厂名"":""济南珍初味商贸有限公司""},{""厂址"":""济南市中区二七南路9号院内""},{""厂家联系方式"":""0531-58566696""},{""配料表"":""巧克力，鸡蛋，牛奶，面粉，奶油，糖，油""},{""储藏方法"":""0-4℃冷藏""},{""保质期"":""3""},{""食品添加剂"":""无""},{""包装方式"":""餐饮制售""},{""同城服务"":""同城24小时卖家送货上门""},{""蛋糕种类"":""黑森林蛋糕""},{""产地"":""中国大陆""},{""省份"":""山东省""},{""城市"":""济南市""},{""颜色分类"":""透明""},{""品牌"":""猪丫手造""},{""系列"":""生日蛋糕""},{""蛋糕尺寸"":""6寸,8寸,10寸,12寸""},{""蛋糕价格"":""301-400元""}]}]}",1080101001,食品保健,,,,,,0
38,39,535000000000.0,黄山大山农家自种青辣椒特产土辣椒鲜螺丝辣椒现摘现发满5斤包邮,黄山辣椒,"{""groupProps"":[{""基本信息"":[{""产地"":""中国大陆""},{""省份"":""安徽省""},{""城市"":""黄山市""},{""包装方式"":""食用农产品""},{""售卖方式"":""产地直销""},{""品种"":""农家螺丝土辣椒""},{""热卖时间"":""4月,5月,6月,7月,8月,9月,10月,11月,12月""},{""净含量"":""500g""}]}]}",1080202006,食品保健,蔬菜,,,,,0
39,40,555000000000.0,7式甜椰丝70g饼干面包蛋糕糯米滋椰蓉椰丝球牛奶小方烘焙材料原料,山东糯米,"{""groupProps"":[{""基本信息"":[{""生产日期"":""2016年12月18日 至 2016年12月18日""},{""生产许可证编号"":""SC11337078106161""},{""产品标准号"":""GB/T10782""},{""厂名"":""青州市贵佳尔食品有限公司""},{""厂址"":""青州市经济开发区亚东街1728号""},{""厂家联系方式"":""4006660498""},{""配料表"":""椰丝果肉、白砂糖""},{""储藏方法"":""阴凉干燥避光处保存""},{""保质期"":""365""},{""食品添加剂"":""见包装""},{""品牌"":""7式""},{""系列"":""甜椰丝""},{""规格"":""70g""},{""产地"":""中国大陆""},{""省份"":""山东省""},{""包装规格"":""250g以下""},{""是否为有机食品"":""否""},{""商品条形码"":""6956206800187""},{""包装方式"":""包装""},{""套餐份量"":""1人份""},{""原料成分"":""其他/other""},{""原料成分"":""烘焙原料""},{""净含量"":""70g""}]}]}",1080101002,食品保健,,,,{'糯米蛋糕': '糯米'},糯米蛋糕,3
40,41,554000000000.0,福建漳州东山岛特产炭碳烤鱿鱼丝 无添加 享受手撕的美味500g,漳州鱼,"{""groupProps"":[{""基本信息"":[{""包装方式"":""食用农产品""},{""原产地"":""中国""},{""食品工艺"":""其他""},{""产地"":""中国大陆""},{""省份"":""福建省""},{""城市"":""漳州市""},{""净含量"":""500g""}]}]}",1080102009,食品保健,水产,,,,,0
41,42,532000000000.0,2017新货正宗东北雌性红萝卜种子新鲜红皮白心大萝卜包邮,葫芦岛红萝卜,"{""groupProps"":[{""基本信息"":[{""净含量"":""2500g""},{""包装方式"":""食用农产品""},{""品牌"":""东北雌性大红萝卜""},{""系列"":""红萝卜""},{""规格"":""红萝卜""},{""品种"":""其他""},{""产地"":""中国大陆""},{""省份"":""辽宁省""},{""城市"":""葫芦岛市""}]}]}",1080202001,食品保健,其他农产品,,,,,0
